age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
2.7022116,8.952147,0.13449676,0.004756532,372.59943,0.014868677,7.71183,9.431719,4.120488,1.3177216,1.5479987,0.099999994,7.435123,1.6553752,8.348673,6430.422
2.5381868,8.92149,0.13489142,0.0060127014,368.4911,0.0030286014,7.717731,9.404524,4.127179,1.3254629,1.5758996,0.1,7.41337,1.6472325,8.334416,6490.823
2.5316198,8.9355345,0.13421889,0.005520271,367.30145,0.027199328,7.7193027,9.403398,4.1319604,1.3284645,1.5860502,0.1,7.4505167,1.6401854,8.341654,6470.128
2.493884,8.949108,0.13384207,0.0059412234,365.2332,0.07562518,7.712221,9.396876,4.1341963,1.3419623,1.6117103,0.1,7.471493,1.644064,8.343292,6434.896
2.691766,8.998589,0.13304757,0.008103649,369.56943,0.06788504,7.7313437,9.430037,4.136121,1.3207616,1.5690699,0.099999994,7.516109,1.6285167,8.380677,6386.9185
2.825741,9.079823,0.13361207,0.0058914935,370.5587,0.17461354,7.7305307,9.451132,4.1302023,1.3394318,1.5819288,0.1,7.4843545,1.6506468,8.419618,6252.1226
2.622653,9.010008,0.13364035,0.006506836,367.89615,0.14901873,7.7064333,9.41874,4.1291103,1.3514785,1.6119344,0.1,7.48277,1.6612166,8.371266,6324.979
2.2575707,8.957771,0.13304299,0.006198884,356.48532,0.16622046,7.708164,9.3536415,4.147912,1.3742429,1.7009605,0.1,7.516367,1.6378684,8.34118,6409.7354
2.2902005,8.985813,0.13278571,0.007952052,356.55585,0.17302236,7.724824,9.359873,4.1530237,1.368232,1.6954898,0.10000001,7.530931,1.6252675,8.3640175,6391.3447
2.3237572,9.044561,0.13406028,0.01708971,356.09036,0.24083611,7.7401295,9.366191,4.1510296,1.3814864,1.7130533,0.1,7.4593306,1.6362865,8.399761,6316.7656
