# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1563   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  170         8.0000000000000000E+000         2.3748577648019636E-001         2.3748537675601583E-001         3.5181660049068451E+000         4.8698310552358119E+000        -2.0306909165463778E+000         0.0000000000000000E+000            0.041369           14.304088           13.273069           11.873742           10.753358            9.359240            7.972338            7.321485            7.108037           10.772662           12.538803           11.841358           13.510166           12.099914           10.762587           12.144163            9.650917           10.750861           12.099510           12.142565            9.628720            9.566281           10.770513           12.119789            9.626854           -1.000000
  171         8.0000000000000000E+000         2.4457788637771105E-001         2.4457747311262051E-001         3.5199440927657868E+000         4.8702368785748726E+000        -2.0102384617850597E+000         0.0000000000000000E+000            0.041370           14.221813           13.189505           11.792128           10.680322            9.300732            7.926056            7.274535            7.061680           10.705394           12.457404           11.763840           13.427691           12.017269           10.697856           12.062525            9.591259           10.685558           12.017920           12.061043            9.569142            9.508281           10.705230           12.038101            9.567371           -1.000000
  172         8.0000000000000000E+000         2.5319445765704934E-001         2.5319402787092660E-001         3.5220684868160013E+000         4.8706286378638106E+000        -1.9865646831635855E+000         0.0000000000000000E+000            0.041369           14.126501           13.092365           11.697479           10.595516            9.233084            7.872657            7.220310            7.008160           10.627300           12.363123           11.673814           13.332022           11.921391           10.622707           11.967838            9.522148           10.609756           11.923290           11.966496            9.500127            9.441097           10.629449           11.943356            9.498475           -1.000000
  173         8.0000000000000000E+000         2.6676325152989983E-001         2.6676279573496786E-001         3.5253964836227096E+000         4.8708054705780581E+000        -1.9519416533469376E+000         0.0000000000000000E+000            0.041368           13.985418           12.947965           11.557225           10.469903            9.133976            7.795162            7.141467            6.930423           10.511850           12.223173           11.540281           13.190185           11.779213           10.511702           11.827505            9.420566           10.497782           11.783050           11.826383            9.398685            9.342422           10.517506           11.802937            9.397235           -1.000000
  174         8.0000000000000000E+000         2.8045067255697198E-001         2.8045019023003753E-001         3.5287628760544703E+000         4.8708344161374200E+000        -1.9168292930087443E+000         0.0000000000000000E+000            0.041364           13.844790           12.803629           11.416964           10.343652            9.034247            7.716591            7.061476            6.851567           10.395536           12.083094           11.406298           13.048529           11.637001           10.399718           11.687151            9.318105           10.384872           11.642790           11.686254            9.296364            9.242798           10.404628           11.662497            9.295132           -1.000000
  175         8.0000000000000000E+000         2.9423922340740799E-001         2.9423871404665936E-001         3.5321566307445669E+000         4.8707519661989274E+000        -1.8813359364808815E+000         0.0000000000000000E+000            0.041358           13.704681           12.659426           11.276692           10.216885            8.934097            7.637228            6.980641            6.771906           10.278532           11.943158           11.271962           12.907164           11.494752           10.286959           11.546778            9.214972           10.271224           11.502514           11.546113            9.193368            9.142443           10.291009           11.522039            9.192369           -1.000000
  176         8.0000000000000000E+000         3.0366122287439051E-001         3.0366069482442304E-001         3.5345437946663081E+000         4.8705674537736492E+000        -1.8572661202947942E+000         0.0000000000000000E+000            0.041353           13.609272           12.560932           11.180840           10.130261            8.866201            7.583714            6.926073            6.718191           10.198668           11.847602           11.180120           12.810769           11.397495           10.210030           11.450852            9.144847           10.193687           11.406658           11.450356            9.123336            9.074235           10.213493           11.426056            9.122510           -1.000000
  177         8.0000000000000000E+000         3.0988753347558545E-001         3.0988699289836091E-001         3.5362347331663915E+000         4.8705211050456860E+000        -1.8415894802186088E+000         0.0000000000000000E+000            0.041349           13.545489           12.494841           11.116524           10.072394            8.821657            7.549287            6.890901            6.683637           10.145562           11.783537           11.118599           12.746237           11.332180           10.158992           11.386489            9.098656           10.142225           11.342344           11.386112            9.077210            9.029393           10.162046           11.361650            9.076509           -1.000000
  178         8.0000000000000000E+000         3.1104124371215519E-001         3.1104070085065322E-001         3.5364736651898663E+000         4.8686847425689441E+000        -1.8372015364277137E+000         0.0000000000000000E+000            0.041346           13.530859           12.480164           11.102328           10.059098            8.810059            7.538957            6.880390            6.673226           10.132850           11.769146           11.104767           12.731649           11.317834           10.146538           11.372292            9.086838           10.129718           11.328156           11.371929            9.065401            9.017745           10.149541           11.347448            9.064717           -1.000000
  179         8.0000000000000000E+000         3.1209078720649402E-001         3.1209024225356430E-001         3.5366920813033755E+000         4.8669131606577345E+000        -1.8331091500940464E+000         0.0000000000000000E+000            0.041345           13.517285           12.466556           11.089170           10.046760            8.799259            7.529309            6.870571            6.663500           10.121038           11.755798           11.091940           12.718118           11.304537           10.134961           11.359131            9.075841           10.118093           11.315004           11.358782            9.054411            9.006902           10.137918           11.334285            9.053742           -1.000000
  180         8.0000000000000000E+000         3.1312873798100227E-001         3.1312819094561417E-001         3.5369203203772912E+000         4.8653018978014702E+000        -1.8291537753314095E+000         0.0000000000000000E+000            0.041343           13.503941           12.453133           11.076181           10.034628            8.788764            7.520035            6.861127            6.654152           10.109470           11.742643           11.079300           12.704793           11.291404           10.123642           11.346140            9.065134           10.106724           11.302022           11.345805            9.043712            8.996359           10.126550           11.321289            9.043059           -1.000000
  181         8.0000000000000000E+000         3.1415475098720652E-001         3.1415420188546628E-001         3.5371550561164300E+000         4.8639104226371117E+000        -1.8254086617110901E+000         0.0000000000000000E+000            0.041343           13.491058           12.440125           11.063583           10.022912            8.778762            7.511313            6.852240            6.645361           10.098348           11.729911           11.067066           12.691908           11.278660           10.112781           11.333538            9.054911           10.095810           11.289430           11.333220            9.033496            8.986307           10.115637           11.308683            9.032862           -1.000000
  182         8.0000000000000000E+000         3.1516825666004378E-001         3.1516770551670392E-001         3.5373989141597901E+000         4.8628193524923340E+000        -1.8219447093265970E+000         0.0000000000000000E+000            0.041342           13.478793           12.427669           11.051504           10.011749            8.769415            7.503325            6.844094            6.637314           10.087817           11.717737           11.055369           12.679607           11.266429           10.102528           11.321455            9.045330           10.085501           11.277355           11.321153            9.023925            8.976908           10.105330           11.296596            9.023308           -1.000000
  183         8.0000000000000000E+000         3.1616810530245831E-001         3.1616755215334008E-001         3.5376526170065317E+000         4.8621349998978944E+000        -1.8188669259343158E+000         0.0000000000000000E+000            0.041341           13.467396           12.415999           11.040167           10.001369            8.760977            7.496341            6.836964            6.630285           10.078118           11.706361           11.044437           12.668136           11.254937           10.093125           11.310113            9.036642           10.076037           11.266021           11.309828            9.015246            8.968414           10.095869           11.285248            9.014648           -1.000000
