age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
2.0688806,12.879708,0.4313931,0.008710113,334.45248,-0.15444818,11.408118,9.315735,4.451006,1.0270562,1.6323557,0.1,2.3180714,0.9985646,12.181728,6083.7056
2.138357,12.879711,0.4312444,0.0088786725,335.2376,-0.1503816,11.40494,9.330079,4.4495053,1.0265961,1.6151869,0.10000001,2.3188708,1.0000428,12.180227,6078.905
2.1503954,12.845529,0.4323566,0.00824701,336.42615,-0.11879492,11.372419,9.332519,4.4404116,1.0399688,1.623143,0.1,2.3129056,1.0171573,12.145414,6080.383
2.222028,12.896801,0.43237156,0.0074864756,336.3652,-0.118077785,11.403804,9.346749,4.4466743,1.0304167,1.6047608,0.1,2.3128257,1.0050968,12.18804,6050.342
1.6214322,12.938965,0.43166357,0.008708307,326.7798,-0.08015224,11.425818,9.209898,4.460043,1.0420709,1.8162861,0.10000001,2.316619,0.9954208,12.219347,6018.582
2.0122416,12.9199915,0.43320474,0.008093466,333.6172,-0.07414606,11.407077,9.30368,4.44897,1.0408683,1.6770643,0.1,2.3083773,1.0075314,12.20049,6018.6714
1.9135847,12.880716,0.43227962,0.008454879,332.28433,-0.13833758,11.407145,9.281847,4.451782,1.0340539,1.6843485,0.10000001,2.3133175,1.0010705,12.181063,6080.327
1.7228122,12.9405575,0.43391025,0.0083519425,328.6723,-0.07822007,11.428349,9.236238,4.4567685,1.0423746,1.774678,0.1,2.304624,0.99934506,12.221348,6020.148
1.5797803,12.961836,0.4320627,0.008726037,325.9922,-0.020467907,11.41867,9.198596,4.4580455,1.0525503,1.8596017,0.10000001,2.3144789,1.0026152,12.22654,5971.481
1.5075138,12.971874,0.4341034,0.008693616,324.73508,0.015415937,11.415828,9.178261,4.4558697,1.0625979,1.9189827,0.10000001,2.3035986,1.0100453,12.229214,5952.5337
1.979893,12.922044,0.42772183,0.0079544,332.09915,-0.11863479,11.416163,9.296641,4.457992,1.0266181,1.6705618,0.10000001,2.337968,0.99025875,12.207535,6031.13
2.0325222,12.970266,0.42770332,0.0080079865,331.90738,-0.11784971,11.445194,9.308035,4.463794,1.0181309,1.6555384,0.1,2.3380694,0.9796472,12.24745,6002.7256
