age,bpmag,distance,dmdeep,eep,feh,kmag,logage,logg,mass,mmax,mmin,parallax,radius,rpmag,teff
0.5953509,13.019463,0.4333601,0.009766901,294.89685,0.0046993494,11.464332,8.774773,4.478824,1.0671598,2.7950423,0.099999994,2.30755,0.9858441,12.277138,5953.766
0.5743607,12.926096,0.43193907,0.010693821,295.41162,0.023343027,11.398224,8.759184,4.467017,1.0879719,2.8394175,0.1,2.3151414,1.0089905,12.194403,5993.1274
0.3881488,12.853335,0.43240586,0.010265174,284.24026,-0.13830459,11.420932,8.588998,4.4764853,1.0685503,3.1614368,0.1,2.312642,0.98934853,12.170194,6141.937
3.6805801,13.042128,0.42798346,0.008013117,347.15134,-0.05413446,11.437593,9.565916,4.441855,0.99591017,1.3825914,0.099999994,2.3365388,0.9937388,12.283183,5885.8496
3.9045389,13.028178,0.42896742,0.008382304,348.9366,-0.05832094,11.428268,9.591569,4.435882,0.9943233,1.356087,0.1,2.3311794,0.999704,12.271499,5892.203
3.1610253,12.969909,0.42931634,0.007415602,344.48715,-0.07155281,11.409764,9.499827,4.439705,1.0114095,1.444283,0.1,2.3292847,1.0038165,12.230554,5949.169
0.6413149,13.015163,0.43018484,0.009730936,297.38907,0.07024467,11.428874,8.807071,4.473921,1.0809879,2.7539678,0.099999994,2.324582,0.99777484,12.255734,5910.425
0.378251,12.855422,0.43166512,0.010544394,283.08917,-0.06289098,11.3919735,8.57778,4.470157,1.0847359,3.233515,0.1,2.3166106,1.0041246,12.155509,6091.489
0.4222749,12.941047,0.4313663,0.010857987,285.18768,-0.05564311,11.439713,8.625595,4.4793,1.0691793,3.1165168,0.099999994,2.3182154,0.9863899,12.224491,6034.6553
0.6159296,12.910627,0.43123886,0.010528228,297.80206,0.022090971,11.387053,8.789531,4.4648557,1.0891092,2.7699974,0.1,2.3189003,1.0120852,12.180906,5999.4766
1.3167342,12.919811,0.43055376,0.009511622,321.17075,0.00011652708,11.38642,9.119498,4.455869,1.0679909,2.0674324,0.1,2.3225904,1.0126108,12.187645,5984.664
1.9190843,12.961091,0.4307003,0.008018625,331.7369,0.01537919,11.395117,9.283093,4.4498076,1.0543327,1.7401975,0.099999994,2.3218002,1.0131162,12.214432,5938.2393
1.9070262,12.899212,0.4319178,0.008709485,331.76886,-0.14224967,11.419887,9.280356,4.4551706,1.0299515,1.68501,0.099999994,2.3152554,0.99519247,12.19722,6071.7305
1.6229911,12.901625,0.43253943,0.00891489,327.27936,-0.14155641,11.427755,9.210316,4.4600563,1.0353289,1.7907109,0.099999994,2.3119278,0.9921943,12.201741,6079.632
1.9344002,12.853511,0.42950663,0.008263497,332.37634,-0.20335272,11.409655,9.286546,4.455688,1.0212429,1.6537192,0.1,2.3282528,0.9903432,12.169621,6127.2236
1.8671494,12.913381,0.42957094,0.009003289,330.51398,-0.19342265,11.44515,9.271179,4.464361,1.0149951,1.6788273,0.1,2.3279042,0.9775747,12.218398,6089.627
1.1657457,12.861163,0.43085447,0.009448201,317.9245,-0.16494152,11.417143,9.066604,4.4662194,1.0441666,2.1186488,0.1,2.3209693,0.98943764,12.17489,6125.707
1.0421566,12.942774,0.43557683,0.009746375,314.24387,0.032762676,11.4026,9.017933,4.457599,1.0818518,2.3019266,0.1,2.2958062,1.0171478,12.205635,5975.7407
